Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get All Users,15,88,8,564,158.28,60.000%,3.65854,3.27,0.91,915.6
Get All Lessons,8,105,17,565,175.19,100.000%,2.44723,1.44,0.55,603.8
Post post,14337,66,3,1277,77.62,3.083%,240.05425,158.07,132.50,674.3
Get post,50,100,10,565,151.90,100.000%,58.07201,35.05,10.55,618.0
Get ID 1,50,57,7,564,94.67,10.000%,1.70864,1.35,0.57,808.1
Get All Registrations,15,82,12,564,134.42,100.000%,3.61882,2.06,0.93,582.8
Get All Courses,15,84,8,564,141.53,60.000%,3.66211,3.00,0.92,838.8
Get All Posts,6,116,12,564,200.57,100.000%,3.18471,1.92,0.58,618.0
Get Attendance Sessions,8,102,17,564,177.04,100.000%,2.62553,1.55,0.62,604.2
Get All Exams,15,116,7,605,185.58,60.000%,3.59023,19.88,0.89,5669.3
Get All Classes,15,96,8,564,142.38,60.000%,3.65230,2.71,0.91,760.0
Get All Questions,6,123,12,564,198.22,100.000%,3.16456,1.94,0.60,627.0
Get All Periods,6,123,6,564,198.38,100.000%,3.16456,1.92,0.58,620.0
Get All,50,1215,4,2239,496.90,10.000%,1.67825,2.11,0.56,1285.8
Create Class,15,25,6,53,12.93,100.000%,4.21585,2.35,1.68,569.6
Create User,15,52,7,351,81.52,100.000%,4.23849,2.55,1.77,615.6
Create Period,6,28,8,71,21.16,100.000%,4.55235,2.76,1.56,620.0
Create Post,6,23,11,43,11.89,100.000%,4.58365,2.77,1.86,618.0
Create Course,15,36,6,112,26.93,100.000%,4.23609,2.42,1.75,584.8
Create Question,6,21,12,47,13.02,100.000%,4.54201,2.76,1.95,622.0
Confirm Registration,15,30,6,71,17.64,100.000%,4.17478,2.41,1.19,591.6
Create Exam,15,45,6,132,31.87,60.000%,4.13451,2.71,1.78,672.3
Create Lesson,8,79,8,315,95.37,75.000%,2.92398,1.72,1.16,601.0
Create Attendance Session,8,44,7,179,51.96,100.000%,3.20256,1.89,1.42,604.2
Login,1,2340,2340,2340,0.00,0.000%,.42735,0.39,0.10,946.0
Debug Sampler,1,3,3,3,0.00,0.000%,333.33333,165.04,0.00,507.0
TOTAL,14707,71,3,2340,109.00,4.678%,246.24941,163.89,134.36,681.5
